
2025/03/29 (16:11:18) | ===> btop++ v.1.4.0
2025/03/29 (16:11:18) | INFO: Logger set to INFO
2025/03/29 (16:11:18) | INFO: Running on /dev/pts/3
2025/03/29 (16:11:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/29 (16:11:28) | INFO: Quitting! Runtime: 00:00:10

2025/03/29 (16:11:30) | ===> btop++ v.1.4.0
2025/03/29 (16:11:30) | INFO: Logger set to INFO
2025/03/29 (16:11:30) | INFO: Running on /dev/pts/2
2025/03/29 (16:11:30) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/29 (16:11:33) | INFO: Quitting! Runtime: 00:00:03

2025/03/29 (17:00:42) | ===> btop++ v.1.4.0
2025/03/29 (17:00:42) | INFO: Logger set to INFO
2025/03/29 (17:00:42) | INFO: Running on /dev/pts/1
2025/03/29 (17:00:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/29 (17:05:19) | INFO: Quitting! Runtime: 00:04:37

2025/03/29 (22:15:52) | ===> btop++ v.1.4.0
2025/03/29 (22:15:52) | INFO: Logger set to INFO
2025/03/29 (22:15:52) | INFO: Running on /dev/pts/3
2025/03/29 (22:15:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/29 (22:16:19) | INFO: Quitting! Runtime: 00:00:27

2025/03/30 (23:31:42) | ===> btop++ v.1.4.0
2025/03/30 (23:31:42) | INFO: Logger set to INFO
2025/03/30 (23:31:42) | INFO: Running on /dev/pts/3
2025/03/30 (23:31:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/30 (23:31:58) | INFO: Quitting! Runtime: 00:00:16

2025/03/31 (17:41:33) | ===> btop++ v.1.4.0
2025/03/31 (17:41:33) | INFO: Logger set to INFO
2025/03/31 (17:41:33) | INFO: Running on /dev/pts/2
2025/03/31 (17:41:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/04/03 (22:39:38) | ===> btop++ v.1.4.0
2025/04/03 (22:39:38) | INFO: Logger set to INFO
2025/04/03 (22:39:38) | INFO: Running on /dev/pts/8
2025/04/03 (22:39:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/04/03 (22:39:42) | INFO: Quitting! Runtime: 00:00:05
